Epoch,Wins,Draws,Losses,STS Score,STS Percentage
1,13,82,5,2185,14.566666666666666
2,25,72,3,3021,20.14
3,39,61,0,3229,21.526666666666667
4,42,58,0,3247,21.64666666666667
5,34,66,0,3440,22.933333333333334
6,52,48,0,3445,22.966666666666665
7,39,61,0,3497,23.313333333333333
8,46,54,0,3524,23.493333333333332
9,44,56,0,3507,23.380000000000003
10,42,58,0,3575,23.833333333333336
11,42,58,0,3623,24.153333333333332
12,50,50,0,3451,23.006666666666668
13,42,58,0,3436,22.906666666666666
14,48,51,1,3343,22.286666666666665
15,46,54,0,3588,23.919999999999998
16,43,57,0,3208,21.386666666666667
17,48,52,0,3240,21.6
18,37,63,0,3525,23.5
19,45,54,1,3413,22.753333333333334
20,48,51,1,3374,22.493333333333336
21,58,42,0,3354,22.36
22,47,52,1,3379,22.526666666666667
23,56,44,0,3257,21.713333333333335
24,45,55,0,3343,22.286666666666665
25,47,53,0,3348,22.32
26,45,55,0,3231,21.54
27,53,47,0,3399,22.66
28,46,54,0,3250,21.666666666666668
29,53,47,0,3346,22.306666666666665
30,47,52,1,3144,20.96
31,46,54,0,3253,21.686666666666667
32,51,48,1,3116,20.773333333333333
33,39,61,0,3208,21.386666666666667
34,48,52,0,3264,21.759999999999998
35,51,49,0,3210,21.4
36,46,53,1,3320,22.133333333333333
37,45,55,0,3284,21.893333333333334
38,42,58,0,3143,20.953333333333333
39,45,55,0,3209,21.393333333333334
40,48,51,1,2899,19.326666666666668
41,43,57,0,3317,22.113333333333333
42,41,59,0,3048,20.32
43,50,50,0,3004,20.026666666666667
44,46,54,0,3169,21.126666666666665
45,41,59,0,3196,21.306666666666665
46,44,55,1,3149,20.993333333333332
47,42,58,0,3149,20.993333333333332
48,51,49,0,3140,20.933333333333334
49,44,56,0,3224,21.493333333333332
50,56,44,0,3066,20.44
51,40,57,3,3156,21.04
52,48,52,0,3179,21.193333333333335
53,51,49,0,3202,21.346666666666668
54,53,47,0,3299,21.993333333333336
55,46,54,0,3115,20.766666666666666
56,52,48,0,3118,20.78666666666667
57,49,51,0,3185,21.233333333333334
58,46,54,0,3137,20.913333333333334
59,41,58,1,3198,21.32
60,41,59,0,3180,21.2
61,47,53,0,3188,21.253333333333334
62,38,62,0,3156,21.04
63,58,42,0,3199,21.326666666666664
64,45,55,0,3070,20.466666666666665
65,56,44,0,3125,20.833333333333336
66,46,53,1,3126,20.84
67,51,49,0,3152,21.013333333333335
68,52,48,0,3208,21.386666666666667
69,40,60,0,3112,20.746666666666666
70,50,50,0,2958,19.72
71,43,57,0,3094,20.626666666666665
72,50,50,0,3273,21.82
73,47,53,0,2982,19.88
74,51,49,0,3158,21.05333333333333
75,49,51,0,3193,21.28666666666667
76,50,50,0,3142,20.946666666666665
77,52,48,0,3099,20.66
78,57,43,0,3131,20.87333333333333
79,40,60,0,3228,21.52
80,47,53,0,3122,20.813333333333333
81,70,30,0,3158,21.05333333333333
82,37,63,0,3093,20.62
83,52,48,0,3087,20.580000000000002
84,50,50,0,3276,21.84
85,45,55,0,3176,21.173333333333332
86,44,55,1,3289,21.926666666666666
87,46,54,0,3160,21.066666666666666
88,44,55,1,3150,21.0
89,46,54,0,3206,21.373333333333335
90,48,52,0,3149,20.993333333333332
91,47,53,0,3127,20.846666666666668
92,52,48,0,3113,20.75333333333333
93,51,49,0,3161,21.073333333333334
94,54,46,0,3233,21.55333333333333
95,42,58,0,3098,20.653333333333336
96,49,50,1,3030,20.200000000000003
97,51,49,0,3039,20.26
98,48,52,0,3129,20.86
99,51,49,0,3149,20.993333333333332
100,45,54,1,3153,21.02
