Epoch,Loss,Wins_Against_Random,Draws_Against_Random,Losses_Against_Random,STS Score,STS Percentage
1,3.1556795024523137,42,58,0,3416,22.773333333333333
2,2.513355814722071,48,52,0,3741,24.94
3,2.3673686703701597,50,50,0,3964,26.426666666666666
4,2.288743712034135,52,48,0,3977,26.513333333333332
5,2.2380505327458136,51,49,0,4024,26.826666666666664
6,2.205207813004323,58,41,1,4076,27.173333333333332
7,2.1902193813559006,51,49,0,4010,26.73333333333333
8,2.1827103375750583,56,44,0,4023,26.82
9,2.1760246267986108,50,50,0,4055,27.03333333333333
10,2.169349993684791,60,40,0,4031,26.87333333333333
11,2.1629397694816426,63,37,0,4142,27.613333333333333
12,2.157007980904592,55,45,0,4068,27.12
13,2.1514648023507634,54,46,0,4108,27.386666666666663
14,2.146433616606069,62,38,0,4129,27.526666666666667
15,2.141781257885064,59,41,0,4194,27.96
16,2.1374867024599107,49,51,0,4249,28.326666666666668
17,2.133478731818106,52,48,0,4198,27.986666666666665
18,2.1298425892398107,50,50,0,4278,28.52
19,2.126499338549459,58,42,0,4321,28.80666666666667
20,2.123363993956779,53,47,0,4262,28.413333333333334
21,2.1204506629577975,59,41,0,4308,28.720000000000002
22,2.117774755891229,63,37,0,4287,28.58
23,2.1153019819600902,60,40,0,4263,28.42
24,2.1129624696878393,58,42,0,4247,28.313333333333336
25,2.110886426499476,63,37,0,4294,28.626666666666665
26,2.1089811036606276,71,29,0,4244,28.293333333333333
27,2.1073894339986516,56,44,0,4254,28.360000000000003
28,2.10602596824895,60,40,0,4244,28.293333333333333
29,2.1047616382817083,68,32,0,4231,28.20666666666667
30,2.1035691047564566,54,46,0,4258,28.386666666666667
31,2.1024125133814295,57,43,0,4238,28.253333333333337
32,2.101251395776927,61,39,0,4282,28.546666666666663
33,2.100079165476043,61,39,0,4264,28.426666666666666
34,2.0989672146705343,63,37,0,4234,28.226666666666667
35,2.097800318964672,61,39,0,4259,28.39333333333333
36,2.096598335683292,69,31,0,4250,28.333333333333332
37,2.095388752445894,55,45,0,4250,28.333333333333332
38,2.0942112662166448,55,45,0,4170,27.800000000000004
39,2.0930424839211117,59,41,0,4270,28.46666666666667
40,2.091910824661567,61,39,0,4253,28.353333333333335
41,2.0907542764125724,63,37,0,4249,28.326666666666668
